training size,epoch number,batch size,weight decay,training time
0.8,15.0,32.0,0.0,360.7560358531773
0.8,1.0,32.0,0.001,15.942338385153562
0.8,5.0,32.0,0.001,121.7761217020452
0.8,10.0,32.0,0.001,243.12342149810866
0.8,15.0,32.0,0.001,363.1341484240256
0.8,1.0,32.0,0.01,15.95711070485413
0.8,5.0,32.0,0.01,121.88865745160729
0.8,10.0,32.0,0.01,242.88469296088442
0.8,15.0,32.0,0.01,363.15276653086767
0.8,1.0,32.0,0.1,16.13375973002985
0.8,5.0,32.0,0.1,122.06259454507381
0.8,10.0,32.0,0.1,242.65984064899385
0.8,15.0,32.0,0.1,363.2819016119465
0.8,1.0,64.0,0.0,11.876245811581612
0.8,5.0,64.0,0.0,101.82795604784042
0.8,10.0,64.0,0.0,201.21252295468003
0.8,15.0,64.0,0.0,301.25753392791376
0.8,1.0,64.0,0.001,11.855521451216191
0.8,5.0,64.0,0.001,101.05905402684584
0.8,10.0,64.0,0.001,201.8290180931799
0.8,15.0,64.0,0.001,301.2645246339962
0.8,5.0,64.0,0.01,101.71798854600638
0.8,10.0,64.0,0.01,201.28063533222303
0.8,5.0,64.0,0.1,101.5099729001522
0.8,10.0,64.0,0.1,201.69238962000236
0.8,1.0,80.0,0.0,12.003690640907735
0.8,5.0,80.0,0.0,100.16217056009918
0.8,10.0,80.0,0.0,198.24238842492923
0.8,15.0,80.0,0.0,297.03160395892337
0.8,1.0,80.0,0.001,11.757893322966993
0.8,5.0,80.0,0.001,100.24081253819168
0.8,10.0,80.0,0.001,198.1325595760718
0.8,15.0,80.0,0.001,296.2907136050053
0.8,1.0,80.0,0.01,11.603903498034924
0.8,5.0,80.0,0.01,99.98158928565681
0.8,10.0,80.0,0.01,198.78259548870847
0.8,15.0,80.0,0.01,297.56615375587717
0.8,5.0,80.0,0.1,100.12216233974323
0.8,10.0,80.0,0.1,197.9867421737872
0.8,15.0,80.0,0.1,296.38834688207135
