learning rate,batch size,dropout rate,weight decay,training time
1e-06,16.0,0.9,0.0,23.84359438996762
1e-06,16.0,0.9,0.01,24.29994035512209
1e-06,16.0,0.9,0.1,24.014663100708276
1e-06,32.0,0.9,0.0,15.417008346877992
1e-06,64.0,0.9,0.0,11.415211535058916
1e-06,64.0,0.9,0.001,11.597878988832235
1e-06,64.0,0.9,0.01,11.891948938835412
1e-06,64.0,0.9,0.1,11.678419047035277
1e-06,80.0,0.9,0.0,11.094095932785422
1e-06,80.0,0.9,0.001,11.46801777696237
1e-05,16.0,0.9,0.0,23.143356003798544
1e-05,16.0,0.9,0.001,23.804791533388197
1e-05,16.0,0.9,0.01,23.80585813196376
1e-05,16.0,0.9,0.1,23.487761745695025
1e-05,32.0,0.9,0.0,15.204137641005218
1e-05,32.0,0.9,0.001,15.287624387070537
1e-05,32.0,0.9,0.01,15.091134287882596
1e-05,32.0,0.9,0.1,15.229561924003065
1e-05,64.0,0.9,0.0,11.917616174090654
1e-05,64.0,0.9,0.001,11.913564343005419
1e-05,64.0,0.9,0.01,11.906246697995812
1e-05,64.0,0.9,0.1,12.126573919784278
1e-05,80.0,0.9,0.0,11.91759403469041
1e-05,80.0,0.9,0.01,11.63670316990465
1e-05,80.0,0.9,0.1,11.8286262457259
0.0001,16.0,0.9,0.0,24.924072018824518
0.0001,16.0,0.9,0.001,25.679529279004782
0.0001,16.0,0.9,0.01,25.617136414162815
0.0001,16.0,0.9,0.1,25.201934640761465
0.0001,32.0,0.9,0.0,16.0495513449423
0.0001,32.0,0.9,0.001,16.084124314133078
0.0001,32.0,0.9,0.01,16.01993876695633
0.0001,32.0,0.9,0.1,15.83956035785377
0.0001,64.0,0.9,0.0,12.266412451397628
0.0001,64.0,0.9,0.001,11.855358151718974
0.0001,64.0,0.9,0.01,12.038450852036476
0.0001,64.0,0.9,0.1,12.093743158970028
0.0001,80.0,0.9,0.0,11.57871370902285
0.0001,80.0,0.9,0.001,11.938997581135482
0.0001,80.0,0.9,0.01,11.570762367919087
0.0001,80.0,0.9,0.1,11.938393414020538
0.001,16.0,0.9,0.0,24.97668456006795
0.001,16.0,0.9,0.001,25.565598336979747
0.001,16.0,0.9,0.01,25.682439936324954
0.001,32.0,0.9,0.0,15.968580150976777
0.001,32.0,0.9,0.001,15.942338385153562
0.001,32.0,0.9,0.01,15.95711070485413
0.001,32.0,0.9,0.1,16.13375973002985
0.001,64.0,0.9,0.0,11.876245811581612
0.001,64.0,0.9,0.001,11.855521451216191
