training size,epoch number,learning rate,weight decay,training time
0.4,1.0,0.001,0.01,7.523256511893123
0.4,5.0,0.001,0.01,76.47807793179527
0.4,10.0,0.001,0.01,151.77903343969956
0.4,15.0,0.001,0.01,227.6502033318393
0.4,5.0,0.001,0.1,75.53977662092075
0.4,15.0,0.001,0.1,227.22885202988982
0.4,5.0,0.01,0.0,76.16663280501962
0.4,10.0,0.01,0.0,152.5188204930164
0.4,15.0,0.01,0.0,228.6438044658862
0.4,1.0,0.01,0.001,7.534456318709999
0.4,5.0,0.01,0.001,76.78937511099502
0.4,10.0,0.01,0.001,152.44067827099934
0.4,15.0,0.01,0.001,229.43963473662734
0.6,1.0,1e-06,0.0,11.375953121110797
0.6,5.0,1e-06,0.0,95.29100635508075
0.6,10.0,1e-06,0.0,188.9009516676888
0.6,15.0,1e-06,0.0,283.21966382069513
0.6,1.0,1e-06,0.001,11.114549295045435
0.6,5.0,1e-06,0.001,95.13353624101728
0.6,10.0,1e-06,0.001,189.17475067125633
0.6,15.0,1e-06,0.001,283.57263165106997
0.6,1.0,1e-06,0.01,11.326151257846504
0.6,5.0,1e-06,0.01,95.12831059889868
0.6,10.0,1e-06,0.01,189.24489038577303
0.6,15.0,1e-06,0.01,282.9564233631827
0.6,5.0,1e-06,0.1,95.70877059409395
0.6,10.0,1e-06,0.1,189.8957080002874
0.6,15.0,1e-06,0.1,284.6656818911433
0.6,1.0,1e-05,0.0,11.153048667125404
0.6,5.0,1e-05,0.0,94.1374322399497
0.6,10.0,1e-05,0.0,188.34493207093328
0.6,15.0,1e-05,0.0,282.9890081239864
0.6,1.0,1e-05,0.001,11.195236823055893
0.6,5.0,1e-05,0.001,95.07135392492637
0.6,10.0,1e-05,0.001,189.43728381861
0.6,15.0,1e-05,0.001,283.3946946565993
0.6,1.0,1e-05,0.01,11.131761690136045
0.6,5.0,1e-05,0.01,94.26527861692011
0.6,10.0,1e-05,0.01,188.1283303629607
0.6,15.0,1e-05,0.01,282.69980469113216
0.6,1.0,1e-05,0.1,11.152991908602417
0.6,5.0,1e-05,0.1,94.54391657700762
0.6,10.0,1e-05,0.1,189.09800298698246
0.6,15.0,1e-05,0.1,283.4210339956917
0.6,1.0,0.0001,0.0,11.514195756986737
0.6,5.0,0.0001,0.0,94.75081572681665
0.6,10.0,0.0001,0.0,187.67044048709795
0.6,15.0,0.0001,0.0,281.35778662003577
0.6,1.0,0.0001,0.001,11.504823524970561
0.6,5.0,0.0001,0.001,95.39658765727654
0.6,10.0,0.0001,0.001,189.49453967995942
0.6,15.0,0.0001,0.001,283.1885343119502
0.6,1.0,0.0001,0.01,11.473361452575773
0.6,5.0,0.0001,0.01,95.42354522366077
0.6,10.0,0.0001,0.01,188.72598560201004
0.6,15.0,0.0001,0.01,282.02133534895256
0.6,1.0,0.0001,0.1,11.387595179025084
0.6,5.0,0.0001,0.1,94.71910783927888
0.6,10.0,0.0001,0.1,187.72610543016344
0.6,15.0,0.0001,0.1,281.80890678986907
0.6,1.0,0.001,0.0,11.159862863831222
0.6,5.0,0.001,0.0,94.36586049571633
0.6,10.0,0.001,0.0,188.31469071283937
0.6,15.0,0.001,0.0,282.1297831698321
0.6,1.0,0.001,0.001,11.072781986091286
0.6,5.0,0.001,0.001,94.88266829121858
0.6,10.0,0.001,0.001,188.9686937551014
0.6,15.0,0.001,0.001,282.80959861911833
0.6,1.0,0.001,0.01,11.242356427013874
0.6,5.0,0.001,0.01,95.25920232385397
0.6,10.0,0.001,0.01,189.65527743287385
0.6,1.0,0.001,0.1,11.01285949908197
0.6,5.0,0.001,0.1,94.71079635433853
0.6,10.0,0.001,0.1,189.75278009613976
0.6,15.0,0.001,0.1,284.47366114519536
0.6,1.0,0.01,0.0,11.266068638768047
0.6,5.0,0.01,0.0,93.80426668003201
0.6,10.0,0.01,0.0,187.13686282001436
0.6,15.0,0.01,0.0,280.2295445208438
0.6,5.0,0.01,0.001,95.38005122821778
