epoch number,learning rate,batch size,weight decay,training time
5.0,1e-05,80.0,0.001,100.58702941332012
10.0,1e-05,80.0,0.001,199.36994567420334
15.0,1e-05,80.0,0.001,297.841336931102
1.0,1e-05,80.0,0.01,11.63670316990465
5.0,1e-05,80.0,0.01,100.69699005689472
10.0,1e-05,80.0,0.01,199.65884232707322
15.0,1e-05,80.0,0.01,298.42894665384665
1.0,1e-05,80.0,0.1,11.8286262457259
5.0,1e-05,80.0,0.1,100.61324823601171
10.0,1e-05,80.0,0.1,199.0905629727058
15.0,1e-05,80.0,0.1,298.32334656687453
1.0,0.0001,16.0,0.0,24.924072018824518
5.0,0.0001,16.0,0.0,170.42639589961618
10.0,0.0001,16.0,0.0,340.0247593577951
15.0,0.0001,16.0,0.0,509.17434783186764
1.0,0.0001,16.0,0.001,25.679529279004782
5.0,0.0001,16.0,0.001,172.26859882008284
10.0,0.0001,16.0,0.001,342.6355455853045
15.0,0.0001,16.0,0.001,513.2726577860303
1.0,0.0001,16.0,0.01,25.617136414162815
5.0,0.0001,16.0,0.01,172.06796632008627
10.0,0.0001,16.0,0.01,342.82952028280124
15.0,0.0001,16.0,0.01,512.6496794219129
1.0,0.0001,16.0,0.1,25.201934640761465
5.0,0.0001,16.0,0.1,171.66998354671523
10.0,0.0001,16.0,0.1,342.2861237069592
15.0,0.0001,16.0,0.1,513.0554720675573
1.0,0.0001,32.0,0.0,16.0495513449423
5.0,0.0001,32.0,0.0,122.32786933099851
10.0,0.0001,32.0,0.0,242.71280390722677
15.0,0.0001,32.0,0.0,363.78926548501477
1.0,0.0001,32.0,0.001,16.084124314133078
5.0,0.0001,32.0,0.001,122.12231735419482
10.0,0.0001,32.0,0.001,243.46379191800952
15.0,0.0001,32.0,0.001,363.995451615192
1.0,0.0001,32.0,0.01,16.01993876695633
5.0,0.0001,32.0,0.01,122.70947291702032
10.0,0.0001,32.0,0.01,245.13967701839283
15.0,0.0001,32.0,0.01,365.91290383506566
1.0,0.0001,32.0,0.1,15.83956035785377
5.0,0.0001,32.0,0.1,122.55655791983008
10.0,0.0001,32.0,0.1,244.27537652058527
15.0,0.0001,32.0,0.1,364.46678429981694
1.0,0.0001,64.0,0.0,12.266412451397628
5.0,0.0001,64.0,0.0,102.04114614706486
10.0,0.0001,64.0,0.0,202.28065743716434
15.0,0.0001,64.0,0.0,303.50591508997604
1.0,0.0001,64.0,0.001,11.855358151718974
5.0,0.0001,64.0,0.001,102.48307633772492
10.0,0.0001,64.0,0.001,203.24660282582045
15.0,0.0001,64.0,0.001,303.44095083279535
1.0,0.0001,64.0,0.01,12.038450852036476
5.0,0.0001,64.0,0.01,102.21552691608667
10.0,0.0001,64.0,0.01,202.59835575008765
15.0,0.0001,64.0,0.01,303.41011659335345
1.0,0.0001,64.0,0.1,12.093743158970028
5.0,0.0001,64.0,0.1,102.48852591402829
10.0,0.0001,64.0,0.1,202.9078902779147
15.0,0.0001,64.0,0.1,303.87063179258257
1.0,0.0001,80.0,0.0,11.57871370902285
5.0,0.0001,80.0,0.0,99.98927359795198
10.0,0.0001,80.0,0.0,199.3319070842117
15.0,0.0001,80.0,0.0,298.0773370577954
1.0,0.0001,80.0,0.001,11.938997581135482
5.0,0.0001,80.0,0.001,100.39797105500475
10.0,0.0001,80.0,0.001,199.59648351976648
15.0,0.0001,80.0,0.001,298.7009240440093
1.0,0.0001,80.0,0.01,11.570762367919087
5.0,0.0001,80.0,0.01,100.40891487523913
10.0,0.0001,80.0,0.01,199.3026397419162
15.0,0.0001,80.0,0.01,297.9899504231289
1.0,0.0001,80.0,0.1,11.938393414020538
5.0,0.0001,80.0,0.1,100.75528199784458
10.0,0.0001,80.0,0.1,199.54785596905276
15.0,0.0001,80.0,0.1,298.9535744250752
1.0,0.001,16.0,0.0,24.97668456006795
5.0,0.001,16.0,0.0,170.07359306514263
10.0,0.001,16.0,0.0,339.51895883725956
15.0,0.001,16.0,0.0,508.95636075921357
1.0,0.001,16.0,0.001,25.565598336979747
10.0,0.001,16.0,0.001,342.7418758152053
15.0,0.001,16.0,0.001,513.1896960609592
1.0,0.001,16.0,0.01,25.682439936324954
5.0,0.001,16.0,0.01,170.76834400603548
10.0,0.001,16.0,0.01,340.45316669810563
15.0,0.001,16.0,0.01,509.6688392222859
5.0,0.001,16.0,0.1,170.50803165510297
10.0,0.001,16.0,0.1,340.53576156590134
15.0,0.001,16.0,0.1,510.15253210114315
1.0,0.001,32.0,0.0,15.968580150976777
5.0,0.001,32.0,0.0,121.77346367109567
10.0,0.001,32.0,0.0,241.43162061972544
15.0,0.001,32.0,0.0,360.7560358531773
1.0,0.001,32.0,0.001,15.942338385153562
5.0,0.001,32.0,0.001,121.7761217020452
10.0,0.001,32.0,0.001,243.12342149810866
15.0,0.001,32.0,0.001,363.1341484240256
1.0,0.001,32.0,0.01,15.95711070485413
5.0,0.001,32.0,0.01,121.88865745160729
10.0,0.001,32.0,0.01,242.88469296088442
15.0,0.001,32.0,0.01,363.15276653086767
1.0,0.001,32.0,0.1,16.13375973002985
5.0,0.001,32.0,0.1,122.06259454507381
10.0,0.001,32.0,0.1,242.65984064899385
15.0,0.001,32.0,0.1,363.2819016119465
1.0,0.001,64.0,0.0,11.876245811581612
5.0,0.001,64.0,0.0,101.82795604784042
10.0,0.001,64.0,0.0,201.21252295468003
15.0,0.001,64.0,0.0,301.25753392791376
1.0,0.001,64.0,0.001,11.855521451216191
5.0,0.001,64.0,0.001,101.05905402684584
10.0,0.001,64.0,0.001,201.8290180931799
15.0,0.001,64.0,0.001,301.2645246339962
5.0,0.001,64.0,0.01,101.71798854600638
10.0,0.001,64.0,0.01,201.28063533222303
5.0,0.001,64.0,0.1,101.5099729001522
10.0,0.001,64.0,0.1,201.69238962000236
1.0,0.001,80.0,0.0,12.003690640907735
5.0,0.001,80.0,0.0,100.16217056009918
10.0,0.001,80.0,0.0,198.24238842492923
15.0,0.001,80.0,0.0,297.03160395892337
1.0,0.001,80.0,0.001,11.757893322966993
5.0,0.001,80.0,0.001,100.24081253819168
10.0,0.001,80.0,0.001,198.1325595760718
15.0,0.001,80.0,0.001,296.2907136050053
1.0,0.001,80.0,0.01,11.603903498034924
5.0,0.001,80.0,0.01,99.98158928565681
10.0,0.001,80.0,0.01,198.78259548870847
15.0,0.001,80.0,0.01,297.56615375587717
5.0,0.001,80.0,0.1,100.12216233974323
