training size,learning rate,batch size,weight decay,training time
0.8,0.0001,32.0,0.01,16.01993876695633
0.8,0.0001,32.0,0.1,15.83956035785377
0.8,0.0001,64.0,0.0,12.266412451397628
0.8,0.0001,64.0,0.001,11.855358151718974
0.8,0.0001,64.0,0.01,12.038450852036476
0.8,0.0001,64.0,0.1,12.093743158970028
0.8,0.0001,80.0,0.0,11.57871370902285
0.8,0.0001,80.0,0.001,11.938997581135482
0.8,0.0001,80.0,0.01,11.570762367919087
0.8,0.0001,80.0,0.1,11.938393414020538
0.8,0.001,16.0,0.0,24.97668456006795
0.8,0.001,16.0,0.001,25.565598336979747
0.8,0.001,16.0,0.01,25.682439936324954
0.8,0.001,32.0,0.0,15.968580150976777
0.8,0.001,32.0,0.001,15.942338385153562
0.8,0.001,32.0,0.01,15.95711070485413
0.8,0.001,32.0,0.1,16.13375973002985
0.8,0.001,64.0,0.0,11.876245811581612
0.8,0.001,64.0,0.001,11.855521451216191
0.8,0.001,80.0,0.0,12.003690640907735
0.8,0.001,80.0,0.001,11.757893322966993
0.8,0.001,80.0,0.01,11.603903498034924
0.8,0.01,16.0,0.0,24.887807654216886
0.8,0.01,16.0,0.001,25.473000545985997
0.8,0.01,32.0,0.001,16.01012219162658
0.8,0.01,64.0,0.0,11.914051472209394
0.8,0.01,64.0,0.1,12.06872195797041
0.8,0.01,80.0,0.001,11.814975150860846
0.8,0.01,80.0,0.1,11.739109023008496
