training size,epoch number,batch size,dropout rate,training time
0.6,5.0,64.0,0.25,80.58769463375211
0.6,10.0,64.0,0.25,160.80282957712188
0.6,15.0,64.0,0.25,240.59914938686416
0.6,1.0,80.0,0.25,8.700339718721807
0.6,5.0,80.0,0.25,82.80341774085537
0.6,10.0,80.0,0.25,162.94097682088614
0.6,15.0,80.0,0.25,242.96167938690633
0.6,1.0,16.0,0.5,17.85296949604526
0.6,5.0,16.0,0.5,127.88657196424901
0.6,10.0,16.0,0.5,254.5855107260868
0.6,15.0,16.0,0.5,381.56262989807874
0.6,5.0,32.0,0.5,95.31856210716069
0.6,10.0,32.0,0.5,189.80871856212616
0.6,15.0,32.0,0.5,284.2645663060248
0.6,1.0,64.0,0.5,8.579722768161446
0.6,5.0,64.0,0.5,81.28263033088297
0.6,10.0,64.0,0.5,162.16974801616743
0.6,15.0,64.0,0.5,242.9021915239282
0.6,1.0,80.0,0.5,8.530543452128768
0.6,5.0,80.0,0.5,79.97849766490981
0.6,10.0,80.0,0.5,159.17455951403826
0.6,15.0,80.0,0.5,238.98167110001668
0.6,1.0,16.0,0.75,17.913080447353423
0.6,5.0,16.0,0.75,127.97287771338597
0.6,10.0,16.0,0.75,254.2430582200177
0.6,15.0,16.0,0.75,381.1309209703468
0.6,1.0,32.0,0.75,11.358864502981305
0.6,5.0,32.0,0.75,95.8198134759441
0.6,10.0,32.0,0.75,189.96977762365714
0.6,15.0,32.0,0.75,283.6697770366445
0.6,1.0,64.0,0.75,8.92607688670978
0.6,5.0,64.0,0.75,81.92503791674972
0.6,10.0,64.0,0.75,162.304503781721
0.6,15.0,64.0,0.75,242.60961015475914
0.6,1.0,80.0,0.75,8.360314947087318
0.6,5.0,80.0,0.75,80.43485479708761
0.6,10.0,80.0,0.75,159.8203313020058
0.6,15.0,80.0,0.75,239.6121438019909
0.6,1.0,16.0,0.9,17.22536627901718
0.6,5.0,16.0,0.9,125.93197216885164
0.6,10.0,16.0,0.9,251.91927363025025
0.6,15.0,16.0,0.9,377.37448499305174
0.6,1.0,32.0,0.9,11.159862863831222
0.6,5.0,32.0,0.9,94.36586049571633
0.6,10.0,32.0,0.9,188.31469071283937
0.6,15.0,32.0,0.9,282.1297831698321
0.6,5.0,64.0,0.9,81.10440625529736
0.6,10.0,64.0,0.9,161.20516113517806
0.6,15.0,64.0,0.9,241.65327665628865
0.6,1.0,80.0,0.9,8.418700114358217
0.6,5.0,80.0,0.9,79.9855385213159
0.6,10.0,80.0,0.9,158.85643637832254
0.6,15.0,80.0,0.9,237.66852916916832
0.8,1.0,16.0,0.25,25.253849774133414
0.8,5.0,16.0,0.25,171.01994515117258
0.8,10.0,16.0,0.25,341.68014775495976
0.8,15.0,16.0,0.25,512.3789457147941
0.8,1.0,32.0,0.25,16.385256104171276
0.8,5.0,32.0,0.25,122.82057186495513
0.8,10.0,32.0,0.25,244.5556056429632
0.8,15.0,32.0,0.25,366.45560131780803
0.8,1.0,64.0,0.25,11.941742057912052
0.8,5.0,64.0,0.25,102.28649927210063
0.8,10.0,64.0,0.25,203.09080706676468
0.8,15.0,64.0,0.25,303.51182039268315
0.8,1.0,80.0,0.25,11.705231982748955
0.8,5.0,80.0,0.25,101.11825215769932
0.8,10.0,80.0,0.25,200.80322859901935
0.8,15.0,80.0,0.25,300.44845420867205
0.8,1.0,16.0,0.5,22.62615188676864
0.8,5.0,16.0,0.5,151.53385888691992
0.8,10.0,16.0,0.5,302.68021519714966
0.8,15.0,16.0,0.5,453.4467495540157
