training size,learning rate,dropout rate,weight decay,training time
0.2,0.001,0.9,0.1,3.5940441638231277
0.2,0.01,0.9,0.0,3.399933987762779
0.4,1e-06,0.25,0.0,7.038107292726636
0.4,1e-06,0.25,0.001,7.267281215172261
0.4,1e-06,0.25,0.01,7.031339235138148
0.4,1e-06,0.25,0.1,6.785912796854973
0.4,1e-05,0.25,0.0,6.941701331175864
0.4,1e-05,0.25,0.001,7.129353711847216
0.4,1e-05,0.25,0.01,6.800308035220951
0.4,1e-05,0.25,0.1,6.99124409398064
0.4,0.0001,0.25,0.0,6.831984869204462
0.4,0.0001,0.25,0.001,7.206396719906479
0.4,0.0001,0.25,0.01,6.86233029095456
0.4,0.0001,0.25,0.1,6.831934493035078
0.4,0.001,0.25,0.0,6.804481841158122
0.4,0.001,0.25,0.001,6.943703765980899
0.4,0.001,0.25,0.01,7.165368478279561
0.4,0.01,0.25,0.001,7.118447347078472
0.4,0.01,0.25,0.1,6.935542439110577
0.4,1e-06,0.5,0.0,7.433614507783204
0.4,1e-06,0.5,0.001,7.4338382529094815
0.4,1e-06,0.5,0.01,7.48568995995447
0.4,1e-05,0.5,0.0,7.276405392680317
0.4,1e-05,0.5,0.001,7.433327666018158
0.4,1e-05,0.5,0.01,7.719430199358612
0.4,1e-05,0.5,0.1,7.040236953645945
0.4,0.0001,0.5,0.0,7.159900279715657
0.4,0.0001,0.5,0.001,7.392540062777698
0.4,0.0001,0.5,0.01,7.418978464789689
0.4,0.0001,0.5,0.1,7.2742780349217355
0.4,0.001,0.5,0.0,7.181405274197459
0.4,0.001,0.5,0.001,6.841875265352428
0.4,0.001,0.5,0.1,7.213298401795328
0.4,0.01,0.5,0.0,7.002696607727557
0.4,0.01,0.5,0.01,7.138791683129966
0.4,1e-06,0.75,0.001,7.459089771844447
0.4,1e-06,0.75,0.01,7.259465315844864
0.4,1e-06,0.75,0.1,7.4857700117863715
0.4,1e-05,0.75,0.0,7.135833112988621
0.4,1e-05,0.75,0.001,7.24264301173389
0.4,1e-05,0.75,0.01,7.196362197864801
0.4,1e-05,0.75,0.1,7.426739990245551
0.4,0.0001,0.75,0.0,8.011745964642614
0.4,0.0001,0.75,0.001,6.96172410575673
0.4,0.0001,0.75,0.01,7.176466474309564
0.4,0.0001,0.75,0.1,6.952715465333313
0.4,0.001,0.75,0.0,6.885662800166756
0.4,0.001,0.75,0.001,7.112479118164629
0.4,0.001,0.75,0.01,7.108362713828683
0.4,0.01,0.75,0.0,7.40644966205582
0.4,0.01,0.75,0.001,7.320609158370644
0.4,1e-06,0.9,0.0,7.262848722282797
0.4,1e-06,0.9,0.01,7.06402289820835
0.4,1e-05,0.9,0.0,7.3958592102862895
0.4,1e-05,0.9,0.001,7.340669154189527
0.4,1e-05,0.9,0.01,7.607961675617844
0.4,1e-05,0.9,0.1,7.296012269333005
0.4,0.0001,0.9,0.0,7.252366087865084
0.4,0.0001,0.9,0.001,7.5273712780326605
0.4,0.0001,0.9,0.01,7.2349475640803576
0.4,0.0001,0.9,0.1,7.690580989699811
0.4,0.001,0.9,0.0,7.4829388447105885
0.4,0.001,0.9,0.001,7.254629123955965
0.4,0.001,0.9,0.01,7.523256511893123
0.4,0.01,0.9,0.001,7.534456318709999
0.6,1e-06,0.25,0.0,11.09764064103365
0.6,1e-06,0.25,0.001,11.026803257875144
0.6,1e-06,0.25,0.01,10.984275851864368
0.6,1e-06,0.25,0.1,11.311039116699249
0.6,1e-05,0.25,0.0,11.538399231154472
0.6,1e-05,0.25,0.001,11.38680275529623
0.6,1e-05,0.25,0.01,11.452839346136898
0.6,1e-05,0.25,0.1,11.196471537929028
0.6,0.0001,0.25,0.0,11.226121373008937
0.6,0.0001,0.25,0.001,11.369685563724488
0.6,0.0001,0.25,0.01,11.216779041104019
0.6,0.0001,0.25,0.1,11.781462595798075
0.6,0.001,0.25,0.0,11.639038193039596
0.6,0.001,0.25,0.001,11.301390612032264
0.6,0.01,0.25,0.0,10.912165436893702
0.6,0.01,0.25,0.001,11.300239847972989
0.6,1e-06,0.5,0.0,11.296941470354795
0.6,1e-06,0.5,0.001,11.057365162763745
0.6,1e-05,0.5,0.0,10.840896174311638
0.6,1e-05,0.5,0.001,11.117786765098572
0.6,1e-05,0.5,0.01,11.058749733958393
0.6,1e-05,0.5,0.1,11.357473592739552
0.6,0.0001,0.5,0.0,11.248339782934636
0.6,0.0001,0.5,0.001,10.989412582945079
0.6,0.0001,0.5,0.01,11.110543842893094
0.6,0.0001,0.5,0.1,11.062785217072815
0.6,0.001,0.5,0.001,11.460275024175644
