training size,epoch number,learning rate,batch size,training time
0.4,10.0,1e-05,16.0,194.5617177700624
0.4,15.0,1e-05,16.0,292.1527882651426
0.4,1.0,1e-05,32.0,7.3958592102862895
0.4,5.0,1e-05,32.0,76.76859712135047
0.4,10.0,1e-05,32.0,152.71757041942328
0.4,15.0,1e-05,32.0,228.08520307438448
0.4,5.0,1e-05,64.0,67.86283470410854
0.4,10.0,1e-05,64.0,134.66460483008996
0.4,15.0,1e-05,64.0,201.56454903632402
0.4,5.0,1e-05,80.0,66.35072478977963
0.4,10.0,1e-05,80.0,131.85129479970783
0.4,15.0,1e-05,80.0,197.74236659286544
0.4,1.0,0.0001,16.0,11.525518720038235
0.4,5.0,0.0001,16.0,97.43244148185477
0.4,10.0,0.0001,16.0,194.76562403189018
0.4,15.0,0.0001,16.0,292.210718289949
0.4,1.0,0.0001,32.0,7.252366087865084
0.4,5.0,0.0001,32.0,75.58731512585655
0.4,10.0,0.0001,32.0,150.71737658977509
0.4,15.0,0.0001,32.0,226.38183224573731
0.4,1.0,0.0001,64.0,5.607156472746283
0.4,5.0,0.0001,64.0,66.89986641565338
0.4,10.0,0.0001,64.0,133.09083585394546
0.4,15.0,0.0001,64.0,199.6600020029582
0.4,1.0,0.0001,80.0,5.688470689114183
0.4,5.0,0.0001,80.0,66.8549759532325
0.4,10.0,0.0001,80.0,132.51749777095392
0.4,15.0,0.0001,80.0,198.49372300412506
0.4,1.0,0.001,16.0,11.397281513083726
0.4,5.0,0.001,16.0,97.6086057247594
0.4,10.0,0.001,16.0,194.27613919088617
0.4,15.0,0.001,16.0,291.1648539449088
0.4,1.0,0.001,32.0,7.4829388447105885
0.4,5.0,0.001,32.0,76.53880951693282
0.4,10.0,0.001,32.0,152.26374346669763
0.4,15.0,0.001,32.0,227.6379670756869
0.4,1.0,0.001,64.0,5.794027025811374
0.4,5.0,0.001,64.0,67.39412686508149
0.4,10.0,0.001,64.0,133.9251909130253
0.4,15.0,0.001,64.0,200.45606344006956
0.4,1.0,0.001,80.0,5.450595655012876
0.4,5.0,0.001,80.0,65.82068841019645
0.4,10.0,0.001,80.0,131.83692238433287
0.4,15.0,0.001,80.0,197.98795751295984
0.4,5.0,0.01,16.0,98.09337768703699
0.4,10.0,0.01,16.0,195.1428224509582
0.4,15.0,0.01,16.0,292.2211529528722
0.4,5.0,0.01,32.0,76.16663280501962
0.4,10.0,0.01,32.0,152.5188204930164
0.4,15.0,0.01,32.0,228.6438044658862
0.4,10.0,0.01,64.0,133.82553955214098
0.4,15.0,0.01,64.0,200.77045157598332
0.4,5.0,0.01,80.0,67.19482551608235
0.4,10.0,0.01,80.0,133.6992518599145
