epoch number,learning rate,dropout rate,weight decay,training time
15.0,0.001,0.5,0.01,330.18119614524767
5.0,0.001,0.5,0.1,110.12673803512007
10.0,0.001,0.5,0.1,220.0928233950399
1.0,0.01,0.5,0.0,14.358494130894542
5.0,0.01,0.5,0.0,106.7529964717105
10.0,0.01,0.5,0.0,212.0692216316238
15.0,0.01,0.5,0.0,317.51244628382847
1.0,0.01,0.5,0.001,14.08572847303003
15.0,0.01,0.5,0.001,318.02500802697614
10.0,0.01,0.5,0.01,212.6322213090025
1.0,1e-06,0.75,0.0,14.299423743970692
5.0,1e-06,0.75,0.0,106.34370086994022
10.0,1e-06,0.75,0.0,211.5734199169092
15.0,1e-06,0.75,0.0,317.18677958101034
1.0,1e-06,0.75,0.001,14.086050473153591
5.0,1e-06,0.75,0.001,106.40046924492344
10.0,1e-06,0.75,0.001,212.40186830982566
15.0,1e-06,0.75,0.001,318.3021846660413
1.0,1e-06,0.75,0.01,14.092445571906865
5.0,1e-06,0.75,0.01,106.55203548399732
10.0,1e-06,0.75,0.01,212.74408195028082
15.0,1e-06,0.75,0.01,318.422920206096
1.0,1e-06,0.75,0.1,14.132618600036949
5.0,1e-06,0.75,0.1,106.79428406106308
10.0,1e-06,0.75,0.1,212.58509234897792
15.0,1e-06,0.75,0.1,317.9608705891296
1.0,1e-05,0.75,0.0,14.583717301022261
5.0,1e-05,0.75,0.0,110.30954988393933
10.0,1e-05,0.75,0.0,230.52884874399751
15.0,1e-05,0.75,0.0,352.52206042408943
1.0,1e-05,0.75,0.001,16.786191989202052
5.0,1e-05,0.75,0.001,124.72728200023994
10.0,1e-05,0.75,0.001,247.40759065607563
15.0,1e-05,0.75,0.001,369.9994644452818
1.0,1e-05,0.75,0.01,16.314874115865678
5.0,1e-05,0.75,0.01,123.51481778593734
10.0,1e-05,0.75,0.01,246.12206501699984
15.0,1e-05,0.75,0.01,368.6457540616393
1.0,1e-05,0.75,0.1,16.040888994932175
5.0,1e-05,0.75,0.1,123.63240357721224
10.0,1e-05,0.75,0.1,246.18826218415052
15.0,1e-05,0.75,0.1,368.5859651667997
1.0,0.0001,0.75,0.0,15.198387084994465
5.0,0.0001,0.75,0.0,118.98784500127658
10.0,0.0001,0.75,0.0,241.95654928823933
15.0,0.0001,0.75,0.0,364.1095938193612
1.0,0.0001,0.75,0.001,16.474395195953548
5.0,0.0001,0.75,0.001,124.4958456712775
10.0,0.0001,0.75,0.001,248.04408758413047
15.0,0.0001,0.75,0.001,370.2081542261876
1.0,0.0001,0.75,0.01,16.367643039207906
10.0,0.0001,0.75,0.01,247.03125663194805
15.0,0.0001,0.75,0.01,369.3068986912258
1.0,0.0001,0.75,0.1,16.479741840157658
5.0,0.0001,0.75,0.1,124.1332550412044
10.0,0.0001,0.75,0.1,247.34087287122384
15.0,0.0001,0.75,0.1,369.9326302749105
1.0,0.001,0.75,0.0,15.864208205137402
5.0,0.001,0.75,0.0,118.40799736697227
10.0,0.001,0.75,0.0,235.6061453432776
15.0,0.001,0.75,0.0,352.39430630300194
1.0,0.001,0.75,0.001,15.351915863808244
5.0,0.001,0.75,0.001,116.98741691093892
10.0,0.001,0.75,0.001,241.83019578177482
15.0,0.001,0.75,0.001,365.8961310349405
1.0,0.001,0.75,0.01,16.83440666599199
5.0,0.001,0.75,0.01,124.72564968373626
10.0,0.001,0.75,0.01,248.02782978769392
15.0,0.001,0.75,0.01,370.87348535610363
10.0,0.001,0.75,0.1,247.03034773794934
5.0,0.01,0.75,0.0,124.17775111598894
10.0,0.01,0.75,0.0,246.51806473871693
15.0,0.01,0.75,0.0,369.1025450578891
5.0,0.01,0.75,0.001,123.28052868600935
10.0,0.01,0.75,0.01,237.1954164300114
1.0,0.01,0.75,0.1,15.432375279255211
1.0,1e-06,0.9,0.0,15.417008346877992
5.0,1e-06,0.9,0.0,115.08721458213404
10.0,1e-06,0.9,0.0,228.67820423096418
15.0,1e-06,0.9,0.0,341.94335691910237
10.0,1e-06,0.9,0.001,229.39314246177673
15.0,1e-06,0.9,0.001,343.85707089165226
5.0,1e-06,0.9,0.01,115.38485015789047
10.0,1e-06,0.9,0.01,229.3486964609474
15.0,1e-06,0.9,0.01,343.11763654323295
5.0,1e-06,0.9,0.1,115.1703239530325
10.0,1e-06,0.9,0.1,227.4612463270314
15.0,1e-06,0.9,0.1,340.0095918760635
1.0,1e-05,0.9,0.0,15.204137641005218
5.0,1e-05,0.9,0.0,113.06089123804122
10.0,1e-05,0.9,0.0,224.63307885732502
15.0,1e-05,0.9,0.0,336.10339324129745
1.0,1e-05,0.9,0.001,15.287624387070537
5.0,1e-05,0.9,0.001,113.56123066786677
10.0,1e-05,0.9,0.001,225.92487042490393
15.0,1e-05,0.9,0.001,338.5590396616608
1.0,1e-05,0.9,0.01,15.091134287882596
5.0,1e-05,0.9,0.01,113.35298213874921
10.0,1e-05,0.9,0.01,225.54018655512482
