training size,epoch number,dropout rate,weight decay,training time
0.4,5.0,0.9,0.1,75.53977662092075
0.4,15.0,0.9,0.1,227.22885202988982
0.6,1.0,0.25,0.0,11.639038193039596
0.6,5.0,0.25,0.0,96.76493627484888
0.6,10.0,0.25,0.0,192.95866675907746
0.6,15.0,0.25,0.0,289.0083151301369
0.6,1.0,0.25,0.001,11.301390612032264
0.6,5.0,0.25,0.001,96.46743278065696
0.6,10.0,0.25,0.001,192.15033057983965
0.6,15.0,0.25,0.001,288.20928790187463
0.6,5.0,0.25,0.01,97.55468067899346
0.6,10.0,0.25,0.01,193.54676102893427
0.6,15.0,0.25,0.01,289.5947564886883
0.6,5.0,0.25,0.1,97.02346803201362
0.6,5.0,0.5,0.0,95.31856210716069
0.6,10.0,0.5,0.0,189.80871856212616
0.6,15.0,0.5,0.0,284.2645663060248
0.6,1.0,0.5,0.001,11.460275024175644
0.6,5.0,0.5,0.001,95.8741075899452
0.6,10.0,0.5,0.001,190.78088914602995
0.6,15.0,0.5,0.001,285.02374290023
0.6,1.0,0.5,0.01,11.28669319767505
0.6,15.0,0.5,0.01,285.288256582804
0.6,5.0,0.5,0.1,95.90268043009564
0.6,10.0,0.5,0.1,190.71592013491318
0.6,15.0,0.5,0.1,285.52134557487443
0.6,1.0,0.75,0.0,11.358864502981305
0.6,5.0,0.75,0.0,95.8198134759441
0.6,10.0,0.75,0.0,189.96977762365714
0.6,15.0,0.75,0.0,283.6697770366445
0.6,1.0,0.75,0.001,11.759079109877348
0.6,5.0,0.75,0.001,96.24300908716395
0.6,10.0,0.75,0.001,190.35986660979688
0.6,15.0,0.75,0.001,285.209007400088
0.6,1.0,0.75,0.01,11.499750068876892
0.6,15.0,0.75,0.01,284.6862225178629
0.6,5.0,0.75,0.1,95.73424269631505
0.6,1.0,0.9,0.0,11.159862863831222
0.6,5.0,0.9,0.0,94.36586049571633
0.6,10.0,0.9,0.0,188.31469071283937
0.6,15.0,0.9,0.0,282.1297831698321
0.6,1.0,0.9,0.001,11.072781986091286
0.6,5.0,0.9,0.001,94.88266829121858
0.6,10.0,0.9,0.001,188.9686937551014
0.6,15.0,0.9,0.001,282.80959861911833
0.6,1.0,0.9,0.01,11.242356427013874
0.6,5.0,0.9,0.01,95.25920232385397
0.6,10.0,0.9,0.01,189.65527743287385
0.6,1.0,0.9,0.1,11.01285949908197
0.6,5.0,0.9,0.1,94.71079635433853
0.6,10.0,0.9,0.1,189.75278009613976
0.6,15.0,0.9,0.1,284.47366114519536
0.8,1.0,0.25,0.0,16.385256104171276
0.8,5.0,0.25,0.0,122.82057186495513
0.8,10.0,0.25,0.0,244.5556056429632
0.8,15.0,0.25,0.0,366.45560131780803
0.8,1.0,0.25,0.001,16.175427093170583
0.8,5.0,0.25,0.001,122.68604240519926
0.8,10.0,0.25,0.001,244.04907805332914
0.8,15.0,0.25,0.001,366.2806447362527
0.8,1.0,0.25,0.01,16.200745474081486
0.8,5.0,0.25,0.01,123.52542807674035
0.8,10.0,0.25,0.01,245.19185537099838
0.8,15.0,0.25,0.01,366.5783660998568
0.8,5.0,0.25,0.1,122.56621519615874
0.8,15.0,0.25,0.1,366.0034992368892
0.8,1.0,0.5,0.0,14.733984800055623
0.8,5.0,0.5,0.0,110.02507863007486
0.8,10.0,0.5,0.0,219.47084031812847
0.8,15.0,0.5,0.0,328.89593372587115
0.8,1.0,0.5,0.001,14.675108244176954
0.8,5.0,0.5,0.001,110.70699226623401
0.8,10.0,0.5,0.001,220.34013776341453
0.8,15.0,0.5,0.001,329.6268647974357
0.8,1.0,0.5,0.01,15.160656235180795
0.8,10.0,0.5,0.01,220.57136234315112
0.8,15.0,0.5,0.01,330.18119614524767
0.8,5.0,0.5,0.1,110.12673803512007
0.8,10.0,0.5,0.1,220.0928233950399
0.8,1.0,0.75,0.0,15.864208205137402
0.8,5.0,0.75,0.0,118.40799736697227
0.8,10.0,0.75,0.0,235.6061453432776
0.8,15.0,0.75,0.0,352.39430630300194
0.8,1.0,0.75,0.001,15.351915863808244
0.8,5.0,0.75,0.001,116.98741691093892
0.8,10.0,0.75,0.001,241.83019578177482
0.8,15.0,0.75,0.001,365.8961310349405
0.8,1.0,0.75,0.01,16.83440666599199
0.8,5.0,0.75,0.01,124.72564968373626
0.8,10.0,0.75,0.01,248.02782978769392
0.8,15.0,0.75,0.01,370.87348535610363
0.8,10.0,0.75,0.1,247.03034773794934
0.8,1.0,0.9,0.0,15.968580150976777
0.8,5.0,0.9,0.0,121.77346367109567
0.8,10.0,0.9,0.0,241.43162061972544
0.8,15.0,0.9,0.0,360.7560358531773
0.8,1.0,0.9,0.001,15.942338385153562
0.8,5.0,0.9,0.001,121.7761217020452
0.8,10.0,0.9,0.001,243.12342149810866
0.8,15.0,0.9,0.001,363.1341484240256
0.8,1.0,0.9,0.01,15.95711070485413
0.8,5.0,0.9,0.01,121.88865745160729
0.8,10.0,0.9,0.01,242.88469296088442
0.8,15.0,0.9,0.01,363.15276653086767
0.8,1.0,0.9,0.1,16.13375973002985
0.8,5.0,0.9,0.1,122.06259454507381
0.8,10.0,0.9,0.1,242.65984064899385
0.8,15.0,0.9,0.1,363.2819016119465
